Title,Location,Price,Area
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,250 per month            ",146 m²
                        Apartment Lou Jansenplein                            ,            1063 GT Amsterdam (Slotermeer-Noordoost)        ,"                €1,750 per month            ",65 m²
                        Apartment Pieter Aertszstraat 99 2                            ,            1073 SL Amsterdam (Nieuwe Pijp)        ,                Price on request            ,38 m²
                        Apartment Oostenburgervoorstraat                            ,            1018 MR Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,100 per month            ",100 m²
                        Apartment Silodam 431                            ,            1013 AW Amsterdam (Houthavens)        ,"                €2,350 per month            ",120 m²
                        Apartment Johan van der Keukenstraat                            ,            1087 BN Amsterdam (IJburg West)        ,"                €1,850 per month            ",80 m²
                        Apartment Nieuwe Prinsengracht 82 II                            ,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €1,800 per month            ",60 m²
                        Apartment Carnapstraat 53                            ,            1062 KW Amsterdam (Westlandgracht)        ,"                €2,000 per month            ",92 m²
                        Apartment Okeghemstraat 35                            ,            1075 PL Amsterdam (Willemspark)        ,"                €3,950 per month            ",120 m²
                        Apartment Silodam                            ,            1013 AW Amsterdam (Houthavens)        ,"                €2,950 per month            ",135 m²
                        Apartment Eerste Atjehstraat 21 3                            ,            1094 JZ Amsterdam (Indische Buurt West)        ,"                €1,850 per month            ",54 m²
                        Apartment Rijnsburgstraat                            ,            1059 AV Amsterdam (Hoofddorppleinbuurt)        ,"                €2,250 per month            ",80 m²
                        Apartment Herengracht                            ,            1017 CJ Amsterdam (Grachtengordel-Zuid)        ,"                €3,150 per month            ",89 m²
                        Apartment Westermarkt 15 A                            ,            1016 DH Amsterdam (Grachtengordel-West)        ,"                €2,000 per month            ",62 m²
                        Apartment Buiten Vissersstraat                            ,            1013 GB Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",49 m²
                        Apartment Waldenlaan 322                            ,            1093 NH Amsterdam (Dapperbuurt)        ,"                €1,850 per month            ",71 m²
                        Apartment Lutmastraat 223 hs                            ,            1074 TX Amsterdam (Zuid Pijp)        ,"                €2,250 per month            ",71 m²
                        Apartment Orteliuskade 26 2                            ,            1057 AD Amsterdam (Hoofdweg e.o.)        ,"                €1,950 per month            ",55 m²
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,500 per month            ",155 m²
                        Apartment Oudezijds Achterburgwal                            ,            1012 DG Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,150 per month            ",99 m²
                        Studio Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,900 per month            ",43 m²
                        Apartment Uiterwaardenstraat                            ,            1079 CK Amsterdam (Rijnbuurt)        ,"                €2,400 per month            ",95 m²
                        Apartment Hasebroekstraat                            ,            1053 CM Amsterdam (Kinkerbuurt)        ,"                €1,715 per month            ",70 m²
                        Apartment Singel                            ,            1012 WP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,150 per month            ",55 m²
                        Apartment Korte Prinsengracht 46 A                            ,            1013 GT Amsterdam (Haarlemmerbuurt)        ,"                €4,675 per month            ",170 m²
                        Apartment Ganzenweg                            ,            1021 CP Amsterdam (IJplein/Vogelbuurt)        ,"                €1,749 per month            ",75 m²
                        Apartment Quellijnstraat 80 3                            ,            1072 XW Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",85 m²
                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²
                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²
                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²
 
